link,No,Km,Year,HP,Price
/offres/volkswagen-polo-1-2-tsi-highline-navi-freisprech-tempomatstattung-essence-argent-2213eab1-a7a9-42e8-af03-6f2190140e7d?source=list_searchresults,20,23 159,05/2017,66 kW (90 CH),11 442
link,No,Km,Year,HP,Price
peugeot_essence,,,,,
/offres/peugeot-208-active-82-5-t-city-paket-sitzheizung-klima-essence-blanc-30d484bb-e0eb-41fd-9ac6-9206ef6d30e3?source=list_searchresults,1,34 441,05/2018,60 kW (82 CH),10 600
/offres/peugeot-208-active-klima-essence-orange-3b8c8bce-c233-4718-a6d0-c8b91f80d3a9?source=list_searchresults,2,84 000,09/2015,50 kW (68 CH),5 999
/offres/peugeot-208-puretech-68-access-essence-blanc-6662ee2b-26f8-4b4b-a155-201114dd0118?source=list_searchresults,3,82 000,03/2016,50 kW (68 CH),6 800
/offres/peugeot-208-puretech-82-active-euro6-klima-11000tkm-essence-blanc-1ffd4832-4860-4cb0-a523-3f082c79011d?source=list_searchresults,4,11 000,12/2017,60 kW (82 CH),7 990
/offres/peugeot-208-active-klima-zv-einparkhilfe-tempomat-essence-noir-933aabe1-1dfc-4442-9610-75243f039264?source=list_searchresults,5,86 000,03/2017,60 kW (82 CH),7 999
/offres/peugeot-208-puretech-82-style-essence-orange-25f98357-2324-4b45-b167-3b4650f13318?source=list_searchresults,6,51 000,06/2016,60 kW (82 CH),8 300
/offres/peugeot-208-puretech-82-urban-move-essence-blanc-6c5aa81a-5a7a-42d4-9a2c-8e381b3abc2f?source=list_searchresults,7,46 730,05/2017,60 kW (82 CH),8 500
/offres/peugeot-208-active-82-klima-tempomat-sitzheizung-bluetooth-essence-orange-ee2f83e3-cad7-46d9-aae9-b99c856635b9?source=list_searchresults,8,27 528,06/2016,60 kW (82 CH),8 590
/offres/peugeot-208-active-essence-gris-4d9d8b98-357c-4306-ad1d-e087ddec3ba5?source=list_searchresults,9,22 000,05/2016,60 kW (82 CH),8 888
/offres/peugeot-208-active-1-2-puretech-82-klima-sitzheizung-tempomat-essence-blanc-455f83ec-b795-49b9-9475-c1c06b2b8d01?source=list_searchresults,10,51 200,03/2017,60 kW (82 CH),8 900
/offres/peugeot-208-active-puretech-82-s-s-essence-blanc-3785443e-8b63-4261-9fdb-22342977fca1?source=list_searchresults,11,39 529,08/2016,60 kW (82 CH),8 980
/offres/peugeot-208-active-puretech-82-s-s-essence-blanc-daff1b71-898b-4634-84b3-e3996cc6b72b?source=list_searchresults,12,38 153,08/2016,60 kW (82 CH),8 980
/offres/peugeot-208-puretech-82-allure-essence-noir-5d9f30c7-d836-4d0f-b633-854d14fe5859?source=list_searchresults,13,51 000,03/2017,60 kW (82 CH),8 990
/offres/peugeot-208-essence-noir-d1b0f464-a8b8-44f9-b521-ae18c5552bed?source=list_searchresults,14,46 200,02/2015,60 kW (82 CH),8 990
/offres/peugeot-208-1-2-12v-puretech-82-active-klima-essence-blanc-9e08a001-a137-427b-9024-2c724864eab6?source=list_searchresults,15,46 500,11/2016,60 kW (82 CH),9 290
/offres/peugeot-208-puretech-68-active-essence-bleu-2a175167-2ed8-4823-a003-d732802e47de?source=list_searchresults,16,36 400,12/2016,50 kW (68 CH),9 490
/offres/peugeot-208-puretech-82-start-stop-active-essence-noir-107479d6-cc6a-4f28-aadb-e1bae574e17a?source=list_searchresults,17,19 500,09/2018,61 kW (83 CH),9 500
/offres/peugeot-208-active-82-klima-sitzheizung-pdc-tempomat-garantie-essence-noir-7304118a-0e29-46c4-a055-b111d9dbabbe?source=list_searchresults,18,64 500,05/2017,60 kW (82 CH),9 590
/offres/peugeot-208-1-2-puretech-like-1-hand-klimaanlage-essence-gris-1368cc9f-1103-44ea-8ed3-533de38b1e59?source=list_searchresults,19,32 100,03/2019,50 kW (68 CH),9 699
/offres/peugeot-208-1-2-puretech-like-1-hand-klimaanlage-essence-gris-86d6ddab-9e77-4096-887b-d18b989325d9?source=list_searchresults,20,23 300,03/2019,50 kW (68 CH),9 699
